Date,Latitude,Longitude,PM2.5,Ozone,AQI,Name
2014-04-16,35.356615,-119.062613,11.8,0.064,56,Bakersfield-California
2014-04-17,35.356615,-119.062613,11.4,0.063,55,Bakersfield-California
2014-04-18,35.356615,-119.062613,8.5,0.053,47,Bakersfield-California
2014-04-19,35.356615,-119.062613,9.8,0.054,52,Bakersfield-California
2014-04-20,35.356615,-119.062613,8.2,0.054,46,Bakersfield-California
2014-04-21,35.356615,-119.062613,12.6,0.07,58,Bakersfield-California
2014-04-22,35.356615,-119.062613,7.1,0.053,39,Bakersfield-California
2014-04-23,35.356615,-119.062613,5.7,0.051,32,Bakersfield-California
2014-04-24,35.356615,-119.062613,7.1,0.054,39,Bakersfield-California
2014-04-25,35.356615,-119.062613,3.5,0.042,19,Bakersfield-California
2014-04-26,35.356615,-119.062613,4.7,0.045,26,Bakersfield-California
2014-04-27,35.356615,-119.062613,5.2,0.051,29,Bakersfield-California
2014-04-28,35.356615,-119.062613,10.4,0.057,53,Bakersfield-California
2014-04-29,35.356615,-119.062613,11.5,0.063,55,Bakersfield-California
2014-04-30,35.356615,-119.062613,10.1,0.058,53,Bakersfield-California
2014-05-01,35.356615,-119.062613,9.5,0.063,52,Bakersfield-California
2014-05-02,35.356615,-119.062613,13.4,0.07,59,Bakersfield-California
2014-05-03,35.356615,-119.062613,8.8,0.057,49,Bakersfield-California
2014-05-04,35.356615,-119.062613,6.9,0.056,38,Bakersfield-California
2014-05-05,35.356615,-119.062613,6.7,0.048,37,Bakersfield-California
2014-05-06,35.356615,-119.062613,5.8,0.042,32,Bakersfield-California
2014-05-07,35.356615,-119.062613,7.2,0.045,40,Bakersfield-California
2014-05-08,35.356615,-119.062613,7.4,0.053,41,Bakersfield-California
2014-05-09,35.356615,-119.062613,6.1,0.049,34,Bakersfield-California
2014-05-10,35.356615,-119.062613,6.6,0.053,37,Bakersfield-California
2014-05-11,35.356615,-119.062613,5.3,0.048,29,Bakersfield-California
2014-05-12,35.356615,-119.062613,4.9,0.053,27,Bakersfield-California
2014-05-13,35.356615,-119.062613,8.4,0.06,47,Bakersfield-California
2014-05-14,35.356615,-119.062613,9.9,0.067,52,Bakersfield-California
2014-05-15,35.356615,-119.062613,12.7,0.077,58,Bakersfield-California
2014-05-16,35.356615,-119.062613,11.8,0.072,56,Bakersfield-California
2014-05-17,35.356615,-119.062613,10.2,0.065,53,Bakersfield-California
2014-05-18,35.356615,-119.062613,5.5,0.046,31,Bakersfield-California
2014-05-19,35.356615,-119.062613,6.9,0.046,38,Bakersfield-California
2014-05-20,35.356615,-119.062613,4.8,0.039,27,Bakersfield-California
2014-05-21,35.356615,-119.062613,7.3,0.043,41,Bakersfield-California
2014-05-22,35.356615,-119.062613,23.1,0.052,77,Bakersfield-California
2014-05-23,35.356615,-119.062613,11.7,0.067,56,Bakersfield-California
2014-05-24,35.356615,-119.062613,9.3,0.05,51,Bakersfield-California
2014-05-25,35.356615,-119.062613,11.1,0.058,55,Bakersfield-California
2014-05-26,35.356615,-119.062613,13.0,0.052,58,Bakersfield-California
2014-05-27,35.356615,-119.062613,15.5,0.059,63,Bakersfield-California
2014-05-28,35.356615,-119.062613,17.6,0.059,67,Bakersfield-California
2014-05-29,35.356615,-119.062613,10.6,0.06,54,Bakersfield-California
2014-05-30,35.356615,-119.062613,10.6,0.068,54,Bakersfield-California
2014-05-31,35.356615,-119.062613,13.9,0.068,60,Bakersfield-California
2014-06-01,35.356615,-119.062613,20.5,0.07,72,Bakersfield-California
2014-06-02,35.356615,-119.062613,32.6,0.062,95,Bakersfield-California
2014-06-03,35.356615,-119.062613,18.2,0.063,68,Bakersfield-California
2014-06-04,35.356615,-119.062613,14.5,0.069,61,Bakersfield-California
2014-06-05,35.356615,-119.062613,16.3,0.072,64,Bakersfield-California
2014-06-06,35.356615,-119.062613,14.9,0.066,62,Bakersfield-California
2014-06-07,35.356615,-119.062613,12.6,0.069,58,Bakersfield-California
2014-06-08,35.356615,-119.062613,16.8,0.079,65,Bakersfield-California
2014-06-09,35.356615,-119.062613,15.0,0.084,62,Bakersfield-California
2014-06-10,35.356615,-119.062613,70.0,0.06,161,Bakersfield-California
2014-06-11,35.356615,-119.062613,51.2,0.057,140,Bakersfield-California
2014-06-12,35.356615,-119.062613,11.8,0.067,56,Bakersfield-California
2014-06-13,35.356615,-119.062613,6.4,0.055,36,Bakersfield-California
2014-06-14,35.356615,-119.062613,14.9,0.06,62,Bakersfield-California
2014-06-15,35.356615,-119.062613,17.5,0.054,67,Bakersfield-California
2014-06-16,35.356615,-119.062613,21.5,0.042,74,Bakersfield-California
2014-06-17,35.356615,-119.062613,12.3,0.05,57,Bakersfield-California
2014-06-18,35.356615,-119.062613,8.8,0.057,49,Bakersfield-California
2014-06-19,35.356615,-119.062613,11.7,0.07,56,Bakersfield-California
2014-06-20,35.356615,-119.062613,15.5,0.065,63,Bakersfield-California
2014-06-21,35.356615,-119.062613,11.2,0.059,55,Bakersfield-California
2014-06-22,35.356615,-119.062613,7.5,0.058,42,Bakersfield-California
2014-06-23,35.356615,-119.062613,14.2,0.06,61,Bakersfield-California
2014-06-24,35.356615,-119.062613,10.1,0.052,53,Bakersfield-California
2014-06-25,35.356615,-119.062613,11.6,0.047,56,Bakersfield-California
2014-06-26,35.356615,-119.062613,9.5,0.038,52,Bakersfield-California
2014-06-27,35.356615,-119.062613,6.2,0.045,34,Bakersfield-California
2014-06-28,35.356615,-119.062613,24.9,0.048,80,Bakersfield-California
2014-06-29,35.356615,-119.062613,7.8,0.063,43,Bakersfield-California
2014-06-30,35.356615,-119.062613,21.5,0.082,74,Bakersfield-California
2014-07-01,35.356615,-119.062613,19.3,0.073,70,Bakersfield-California
2014-07-03,35.356615,-119.062613,10.7,0.063,54,Bakersfield-California
2014-07-04,35.356615,-119.062613,16.3,0.055,64,Bakersfield-California
2014-07-05,35.356615,-119.062613,11.5,0.057,55,Bakersfield-California
2014-07-06,35.356615,-119.062613,6.8,0.062,38,Bakersfield-California
2014-07-07,35.356615,-119.062613,18.3,0.075,68,Bakersfield-California
2014-07-08,35.356615,-119.062613,16.0,0.068,64,Bakersfield-California
2014-07-23,35.356615,-119.062613,7.2,0.06,40,Bakersfield-California
2014-07-24,35.356615,-119.062613,8.6,0.062,48,Bakersfield-California
2014-07-25,35.356615,-119.062613,11.3,0.076,55,Bakersfield-California
2014-07-26,35.356615,-119.062613,8.4,0.077,47,Bakersfield-California
2014-07-27,35.356615,-119.062613,16.8,0.073,65,Bakersfield-California
2014-07-28,35.356615,-119.062613,15.0,0.067,62,Bakersfield-California
2014-07-29,35.356615,-119.062613,12.5,0.062,57,Bakersfield-California
2014-07-30,35.356615,-119.062613,19.2,0.06,70,Bakersfield-California
2014-07-31,35.356615,-119.062613,18.8,0.045,69,Bakersfield-California
2014-08-01,35.356615,-119.062613,12.7,0.072,58,Bakersfield-California
2014-08-02,35.356615,-119.062613,10.5,0.058,54,Bakersfield-California
2014-08-03,35.356615,-119.062613,7.5,0.049,42,Bakersfield-California
2014-08-04,35.356615,-119.062613,12.3,0.059,57,Bakersfield-California
2014-08-05,35.356615,-119.062613,12.6,0.067,58,Bakersfield-California
2014-08-06,35.356615,-119.062613,22.7,0.064,76,Bakersfield-California
2014-08-07,35.356615,-119.062613,20.1,0.074,71,Bakersfield-California
2014-08-08,35.356615,-119.062613,18.0,0.081,68,Bakersfield-California
2014-08-09,35.356615,-119.062613,12.2,0.074,57,Bakersfield-California
2014-08-10,35.356615,-119.062613,12.5,0.063,57,Bakersfield-California
2014-08-11,35.356615,-119.062613,10.2,0.069,53,Bakersfield-California
2014-08-12,35.356615,-119.062613,11.3,0.066,55,Bakersfield-California
2014-08-13,35.356615,-119.062613,7.9,0.058,44,Bakersfield-California
2014-08-14,35.356615,-119.062613,8.7,0.056,48,Bakersfield-California
2014-08-15,35.356615,-119.062613,6.7,0.066,37,Bakersfield-California
2014-08-16,35.356615,-119.062613,6.1,0.067,34,Bakersfield-California
2014-08-17,35.356615,-119.062613,4.5,0.064,25,Bakersfield-California
2014-08-18,35.356615,-119.062613,8.7,0.066,48,Bakersfield-California
2014-08-19,35.356615,-119.062613,14.2,0.053,61,Bakersfield-California
2014-08-20,35.356615,-119.062613,9.5,0.059,52,Bakersfield-California
2014-08-21,35.356615,-119.062613,10.7,0.063,54,Bakersfield-California
2014-08-22,35.356615,-119.062613,14.7,0.056,61,Bakersfield-California
2014-08-23,35.356615,-119.062613,4.7,0.038,26,Bakersfield-California
2014-08-24,35.356615,-119.062613,4.6,0.058,26,Bakersfield-California
2014-08-25,35.356615,-119.062613,9.5,0.06,52,Bakersfield-California
2014-08-26,35.356615,-119.062613,15.7,0.069,63,Bakersfield-California
2014-08-27,35.356615,-119.062613,11.3,0.065,55,Bakersfield-California
2014-08-28,35.356615,-119.062613,74.7,0.06,164,Bakersfield-California
2014-08-29,35.356615,-119.062613,11.2,0.08,55,Bakersfield-California
2014-08-30,35.356615,-119.062613,8.3,0.06,46,Bakersfield-California
2014-08-31,35.356615,-119.062613,7.5,0.054,42,Bakersfield-California
2014-09-01,35.356615,-119.062613,13.7,0.069,60,Bakersfield-California
2014-09-02,35.356615,-119.062613,11.8,0.075,56,Bakersfield-California
2014-09-05,35.356615,-119.062613,12.1,0.077,57,Bakersfield-California
2014-09-06,35.356615,-119.062613,14.0,0.077,60,Bakersfield-California
2014-09-07,35.356615,-119.062613,11.2,0.071,55,Bakersfield-California
2014-09-08,35.356615,-119.062613,13.2,0.064,59,Bakersfield-California
2014-09-11,35.356615,-119.062613,17.1,0.092,66,Bakersfield-California
2014-09-12,35.356615,-119.062613,23.6,0.086,78,Bakersfield-California
2014-09-13,35.356615,-119.062613,15.0,0.082,62,Bakersfield-California
2014-09-14,35.356615,-119.062613,19.5,0.07,70,Bakersfield-California
2014-09-15,35.356615,-119.062613,18.9,0.082,69,Bakersfield-California
2014-09-16,35.356615,-119.062613,9.6,0.065,52,Bakersfield-California
2014-09-17,35.356615,-119.062613,14.9,0.073,62,Bakersfield-California
2014-09-18,35.356615,-119.062613,8.9,0.036,49,Bakersfield-California
2014-09-19,35.356615,-119.062613,14.9,0.053,62,Bakersfield-California
2014-09-20,35.356615,-119.062613,16.7,0.065,65,Bakersfield-California
2014-09-21,35.356615,-119.062613,10.1,0.058,53,Bakersfield-California
2014-09-22,35.356615,-119.062613,10.1,0.064,53,Bakersfield-California
2014-09-23,35.356615,-119.062613,16.5,0.08,65,Bakersfield-California
2014-09-25,35.356615,-119.062613,7.6,0.049,42,Bakersfield-California
2014-09-26,35.356615,-119.062613,6.3,0.049,35,Bakersfield-California
2014-09-27,35.356615,-119.062613,4.6,0.047,26,Bakersfield-California
2014-09-28,35.356615,-119.062613,6.6,0.051,37,Bakersfield-California
2014-09-29,35.356615,-119.062613,12.7,0.057,58,Bakersfield-California
2014-09-30,35.356615,-119.062613,8.6,0.068,48,Bakersfield-California
2014-10-01,35.356615,-119.062613,11.7,0.064,56,Bakersfield-California
2014-10-02,35.356615,-119.062613,11.8,0.066,56,Bakersfield-California
2014-10-03,35.356615,-119.062613,12.3,0.073,57,Bakersfield-California
2014-10-04,35.356615,-119.062613,13.7,0.073,60,Bakersfield-California
2014-10-05,35.356615,-119.062613,13.6,0.083,59,Bakersfield-California
2014-10-06,35.356615,-119.062613,13.5,0.08,59,Bakersfield-California
2014-10-07,35.356615,-119.062613,17.1,0.086,66,Bakersfield-California
2014-10-08,35.356615,-119.062613,15.2,0.071,62,Bakersfield-California
2014-10-09,35.356615,-119.062613,10.5,0.051,54,Bakersfield-California
2014-10-10,35.356615,-119.062613,9.7,0.039,52,Bakersfield-California
2014-10-11,35.356615,-119.062613,11.5,0.061,55,Bakersfield-California
2014-10-12,35.356615,-119.062613,14.0,0.068,60,Bakersfield-California
2014-10-13,35.356615,-119.062613,15.5,0.081,63,Bakersfield-California
2014-10-14,35.356615,-119.062613,41.9,0.056,117,Bakersfield-California
2014-10-15,35.356615,-119.062613,19.2,0.04,70,Bakersfield-California
2014-10-16,35.356615,-119.062613,11.3,0.052,55,Bakersfield-California
2014-10-17,35.356615,-119.062613,7.2,0.05,40,Bakersfield-California
2014-10-18,35.356615,-119.062613,10.7,0.055,54,Bakersfield-California
2014-10-19,35.356615,-119.062613,11.0,0.07,55,Bakersfield-California
2014-10-20,35.356615,-119.062613,11.4,0.058,55,Bakersfield-California
2014-10-21,35.356615,-119.062613,8.0,0.046,44,Bakersfield-California
2014-10-22,35.356615,-119.062613,8.4,0.052,47,Bakersfield-California
2014-10-23,35.356615,-119.062613,13.9,0.065,60,Bakersfield-California
2014-10-24,35.356615,-119.062613,20.1,0.081,71,Bakersfield-California
2014-10-25,35.356615,-119.062613,13.5,0.047,59,Bakersfield-California
2014-10-26,35.356615,-119.062613,3.0,0.042,17,Bakersfield-California
2014-10-27,35.356615,-119.062613,7.0,0.042,39,Bakersfield-California
2014-10-28,35.356615,-119.062613,11.0,0.05,55,Bakersfield-California
2014-10-29,35.356615,-119.062613,17.0,0.062,66,Bakersfield-California
2014-10-30,35.356615,-119.062613,20.4,0.06,72,Bakersfield-California
2014-11-01,35.356615,-119.062613,6.1,0.038,34,Bakersfield-California
2014-11-02,35.356615,-119.062613,13.4,0.037,59,Bakersfield-California
2014-11-03,35.356615,-119.062613,18.5,0.039,69,Bakersfield-California
2014-11-04,35.356615,-119.062613,38.8,0.038,109,Bakersfield-California
2014-11-05,35.356615,-119.062613,58.6,0.044,153,Bakersfield-California
2014-11-06,35.356615,-119.062613,68.9,0.055,160,Bakersfield-California
2014-11-07,35.356615,-119.062613,93.0,0.057,177,Bakersfield-California
2014-11-08,35.356615,-119.062613,87.2,0.069,173,Bakersfield-California
2014-11-09,35.356615,-119.062613,101.9,0.075,184,Bakersfield-California
2014-11-10,35.356615,-119.062613,90.0,0.073,175,Bakersfield-California
2014-11-11,35.356615,-119.062613,30.1,0.04,90,Bakersfield-California
2014-11-12,35.356615,-119.062613,20.2,0.037,72,Bakersfield-California
2014-11-14,35.356615,-119.062613,26.0,0.031,82,Bakersfield-California
2014-11-15,35.356615,-119.062613,13.4,0.035,59,Bakersfield-California
2014-11-16,35.356615,-119.062613,9.6,0.037,52,Bakersfield-California
2014-11-17,35.356615,-119.062613,16.7,0.027,65,Bakersfield-California
2014-11-18,35.356615,-119.062613,20.5,0.014,72,Bakersfield-California
2014-11-19,35.356615,-119.062613,23.2,0.024,77,Bakersfield-California
2014-11-20,35.356615,-119.062613,14.0,0.03,60,Bakersfield-California
2014-11-21,35.356615,-119.062613,14.7,0.025,61,Bakersfield-California
2014-11-22,35.356615,-119.062613,13.9,0.034,60,Bakersfield-California
2014-11-23,35.356615,-119.062613,11.5,0.032,55,Bakersfield-California
2014-11-24,35.356615,-119.062613,19.7,0.028,71,Bakersfield-California
2014-11-27,35.356615,-119.062613,53.5,0.042,145,Bakersfield-California
2014-11-28,35.356615,-119.062613,42.6,0.05,118,Bakersfield-California
2014-11-29,35.356615,-119.062613,27.7,0.036,86,Bakersfield-California
2014-11-30,35.356615,-119.062613,14.0,0.036,60,Bakersfield-California
2014-12-01,35.356615,-119.062613,11.8,0.022,56,Bakersfield-California
2014-12-03,35.356615,-119.062613,3.4,0.027,19,Bakersfield-California
2014-12-12,35.356615,-119.062613,6.4,0.028,36,Bakersfield-California
2014-12-13,35.356615,-119.062613,13.2,0.034,59,Bakersfield-California
2014-12-14,35.356615,-119.062613,25.0,0.02,81,Bakersfield-California
2014-12-15,35.356615,-119.062613,11.7,0.019,56,Bakersfield-California
2014-12-16,35.356615,-119.062613,19.0,0.017,69,Bakersfield-California
2014-12-17,35.356615,-119.062613,9.2,0.03,51,Bakersfield-California
2014-12-18,35.356615,-119.062613,8.0,0.031,44,Bakersfield-California
2014-12-19,35.356615,-119.062613,15.4,0.019,63,Bakersfield-California
2014-12-20,35.356615,-119.062613,8.9,0.019,49,Bakersfield-California
2014-12-21,35.356615,-119.062613,10.1,0.027,53,Bakersfield-California
2014-12-22,35.356615,-119.062613,8.3,0.021,46,Bakersfield-California
2014-12-23,35.356615,-119.062613,17.5,0.018,67,Bakersfield-California
2014-12-24,35.356615,-119.062613,21.5,0.031,74,Bakersfield-California
2014-12-25,35.356615,-119.062613,9.6,0.032,52,Bakersfield-California
2014-12-26,35.356615,-119.062613,12.8,0.027,58,Bakersfield-California
2014-12-27,35.356615,-119.062613,17.0,0.026,66,Bakersfield-California
2014-12-28,35.356615,-119.062613,22.4,0.025,76,Bakersfield-California
2014-12-29,35.356615,-119.062613,26.0,0.029,82,Bakersfield-California
2014-12-30,35.356615,-119.062613,24.1,0.015,79,Bakersfield-California
2015-01-01,35.356615,-119.062613,34.5,0.025,98,Bakersfield-California
2015-01-02,35.356615,-119.062613,24.8,0.024,80,Bakersfield-California
2015-01-03,35.356615,-119.062613,29.7,0.026,89,Bakersfield-California
2015-01-04,35.356615,-119.062613,39.4,0.025,111,Bakersfield-California
2015-01-05,35.356615,-119.062613,53.8,0.025,146,Bakersfield-California
2015-01-06,35.356615,-119.062613,67.1,0.019,159,Bakersfield-California
2015-01-07,35.356615,-119.062613,84.3,0.03,171,Bakersfield-California
2015-01-08,35.356615,-119.062613,87.7,0.042,174,Bakersfield-California
2015-01-15,35.356615,-119.062613,32.3,0.016,94,Bakersfield-California
2015-01-16,35.356615,-119.062613,38.5,0.017,108,Bakersfield-California
2015-01-17,35.356615,-119.062613,34.5,0.015,98,Bakersfield-California
2015-01-18,35.356615,-119.062613,53.3,0.015,145,Bakersfield-California
2015-01-19,35.356615,-119.062613,21.1,0.012,73,Bakersfield-California
2015-01-20,35.356615,-119.062613,5.8,0.009,32,Bakersfield-California
2015-01-21,35.356615,-119.062613,11.4,0.013,55,Bakersfield-California
2015-01-22,35.356615,-119.062613,25.1,0.014,81,Bakersfield-California
2015-01-23,35.356615,-119.062613,34.7,0.011,99,Bakersfield-California
2015-01-24,35.356615,-119.062613,29.1,0.009,88,Bakersfield-California
2015-01-25,35.356615,-119.062613,28.6,0.015,87,Bakersfield-California
2015-01-26,35.356615,-119.062613,32.2,0.003,94,Bakersfield-California
2015-01-27,35.356615,-119.062613,15.0,0.032,62,Bakersfield-California
2015-01-28,35.356615,-119.062613,24.5,0.021,80,Bakersfield-California
2015-01-29,35.356615,-119.062613,41.5,0.025,116,Bakersfield-California
2015-01-30,35.356615,-119.062613,37.0,0.028,105,Bakersfield-California
2015-01-31,35.356615,-119.062613,38.7,0.034,109,Bakersfield-California
2015-02-01,35.356615,-119.062613,25.8,0.032,82,Bakersfield-California
2015-02-02,35.356615,-119.062613,29.9,0.032,90,Bakersfield-California
2015-02-03,35.356615,-119.062613,41.0,0.034,115,Bakersfield-California
2015-02-05,35.356615,-119.062613,11.4,0.021,55,Bakersfield-California
2015-02-06,35.356615,-119.062613,9.7,0.034,52,Bakersfield-California
2015-02-07,35.356615,-119.062613,10.6,0.014,54,Bakersfield-California
2015-02-08,35.356615,-119.062613,11.5,0.027,55,Bakersfield-California
2015-02-09,35.356615,-119.062613,7.3,0.038,41,Bakersfield-California
2015-02-10,35.356615,-119.062613,11.2,0.038,55,Bakersfield-California
2015-02-11,35.356615,-119.062613,27.8,0.026,86,Bakersfield-California
2015-02-12,35.356615,-119.062613,31.1,0.041,92,Bakersfield-California
2015-02-13,35.356615,-119.062613,38.7,0.05,109,Bakersfield-California
2015-02-14,35.356615,-119.062613,38.9,0.056,109,Bakersfield-California
2015-02-15,35.356615,-119.062613,34.9,0.064,99,Bakersfield-California
2015-02-16,35.356615,-119.062613,34.2,0.063,98,Bakersfield-California
2015-02-17,35.356615,-119.062613,37.8,0.058,107,Bakersfield-California
2015-02-18,35.356615,-119.062613,29.0,0.043,88,Bakersfield-California
2015-02-19,35.356615,-119.062613,43.3,0.049,120,Bakersfield-California
2015-02-20,35.356615,-119.062613,32.9,0.019,95,Bakersfield-California
2015-02-21,35.356615,-119.062613,39.5,0.034,111,Bakersfield-California
2015-02-22,35.356615,-119.062613,21.1,0.036,73,Bakersfield-California
2015-02-23,35.356615,-119.062613,4.0,0.037,22,Bakersfield-California
2015-02-24,35.356615,-119.062613,9.2,0.044,51,Bakersfield-California
2015-02-25,35.356615,-119.062613,15.6,0.054,63,Bakersfield-California
2015-02-26,35.356615,-119.062613,20.7,0.053,73,Bakersfield-California
2015-02-27,35.356615,-119.062613,15.8,0.048,63,Bakersfield-California
2015-02-28,35.356615,-119.062613,0.4,0.04,2,Bakersfield-California
2015-03-01,35.356615,-119.062613,18.9,0.036,69,Bakersfield-California
2015-03-02,35.356615,-119.062613,2.6,0.039,14,Bakersfield-California
2015-03-03,35.356615,-119.062613,7.5,0.04,42,Bakersfield-California
2015-03-04,35.356615,-119.062613,11.6,0.043,56,Bakersfield-California
2015-03-05,35.356615,-119.062613,10.3,0.046,53,Bakersfield-California
2015-03-06,35.356615,-119.062613,20.0,0.05,71,Bakersfield-California
2015-03-07,35.356615,-119.062613,23.5,0.062,78,Bakersfield-California
2015-03-08,35.356615,-119.062613,21.2,0.064,74,Bakersfield-California
2015-03-09,35.356615,-119.062613,20.3,0.066,72,Bakersfield-California
2015-03-10,35.356615,-119.062613,14.3,0.051,61,Bakersfield-California
2015-03-11,35.356615,-119.062613,15.7,0.037,63,Bakersfield-California
2015-03-12,35.356615,-119.062613,14.5,0.04,61,Bakersfield-California
2015-03-13,35.356615,-119.062613,14.2,0.052,61,Bakersfield-California
